"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1931,"Smelilakov",,13.6,48.8,50.9,13.2,23.1,36.7,33
1938,"Smelilakov",,10.9,47.7,32,2,8.1,3.6,
1946,"Smelilakov",,12.4,48.4,28.4,0.4,2,0.7,17.5
1953,"Smelilakov","Strog liubov",8.9,46,26.9,1,3.5,,18
1944,"Yashin","Alen Fomina",8,23.2,26.8,1.3,3.9,7.1,
1962,"Yashin",,8,32.6,36.1,3.1,3,2.9,21.5
1951,"SmirnovS",,5.4,64.3,20.8,,3.1,,57
1941,"Shubin",,5.3,36.1,21.3,8,5.2,5.7,45
1941,"Nedogonov",,1.2,28.7,4.9,,2.2,,41
1954,"OzerovL",,2.1,23.5,23.7,,5.3,2.6,36
1959,"Bokov",,1.1,26.9,29,9.5,14.2,2.6,55
1934,"Aliger",,10.3,36.9,35.7,8.5,4.1,33.5,
1942,"Aliger","Zoya",4.1,29.7,8.9,,3.7,3.6,35
1958,"Aliger",,7.2,32.1,4.3,0.4,4.2,0.6,
1937,"Simonov","stikhi",8.5,36.3,27.6,3,0.7,2.7,62
1954,"Simonov","stikhi I poemy",7.7,45.1,28,4.2,1,3,47.5
1933,"Dolmatovski",,9.7,56.4,43.5,5.7,2.2,10.4,
1942,"Dolmatovski",,9.6,42.2,26,2.2,1.7,1.1,31
1965,"Dolmatovski",,8.1,40.2,35.5,11.7,4.4,8.9,
1949,"Matusovskii",,8.3,42.9,20,2.3,,0.6,28.5
1941,"Shefner",,9.6,41.5,20.5,1.9,0.8,,35.5
1962,"Shefner",,8.3,35.5,31.3,1.1,,,
1960,"Tatianicheva",,3.3,20.9,28.4,5.2,7.3,2.2,21.5
1950,"Tushnova",,4.9,49.8,29.2,0.6,0.6,,
1943,"Dudin",,4.9,28.6,18.8,0.4,3.6,0.8,39
1962,"Dudin",,2.7,20,17.3,3.3,2.1,,
1957,"LvovM",,1.8,20.6,29.2,10.1,7.2,2.3,77.5
1959,"FedorovV","Sedmoe nebo",10.1,38.9,28,3.2,14.6,8.2,33
1940,"Lukonin",,5.3,37.2,40.5,5.7,2.6,9.5,37
1948,"Lukonin","Rabochii den",5.5,33.9,23.5,6.4,,7.2,
1962,"Lukonin",,1.4,23.5,28.5,2.9,3.9,0.5,
1940,"Narovchatov",,8.1,51.4,46.8,16.8,11.7,6.2,42.5
1950,"Narovchatov",,2.7,34.2,14.8,1.7,7.9,0.6,22
1950,"Slutskii",,3.2,38.2,39.5,8.7,1.5,3.7,66
1969,"Slutskii",,1.3,28.4,28.7,14.6,7.5,,81.5
1950,"Samoilov",,3.5,27,16.2,2.2,2.1,1.1,43.5
1970,"Samoilov",,1.6,34.6,30.8,11.1,11.8,1.7,39.5
1941,"Orlov",,14.9,41.1,46,2.4,2,12.9,22.5
1966,"Orlov",,17.9,39,53.2,1.7,1.4,11.4,27.6
1942,"Gudzenko",,8.7,41.1,38,6.8,0.9,10.5,42.5
1950,"Gudzenko","Dalnii garnizon",4.1,32.8,30.3,6.9,7.6,1.1,
1960,"Levitanskii",,,9.4,18.9,2,6.7,,85
1962,"Snegova",,6.5,41.1,45.4,11.4,8.6,,
1942,"Mezhirov",,7.9,37.9,35.6,20.5,8.3,19.8,63.5
1955,"Mezhirov",,3,25,17.2,5.7,4.2,,44.5
1951,"Dorizo",,5.4,35.3,22.3,0.8,12.8,0.5,
1950,"Kobzev",,9.5,43.7,54.2,6.6,13.4,6,
1960,"Okudzhava",,2.3,19.6,21.5,2.9,12,,52.5
1942,"Drunina",,16.7,48.7,47.7,6.5,1.7,26.6,
1956,"Drunina",,9.6,41,29.8,7.6,1.3,0.2,
1963,"Vinokurov",,,27.7,19.2,4,8.4,,69
1963,"Vanshenkin",,0.6,23.4,11.7,2.6,0.5,,57.5
1966,"Vanshenkin",,0.4,31.4,20.6,2.9,4.1,,
1962,"Isaev","Sud pamiati",6.8,41,36.1,13.7,12.7,4.2,
1960,"SokolovV",,3,33.8,19.8,3.6,5.5,,45.5
1965,"Zhigulin",,8.4,39.7,44.9,8.1,14.1,1.6,25
1970,"Kazakova",,6.4,30.1,56.8,15.1,16.3,,
1960,"Borisova",,10.1,46.4,74,31.4,15.8,22.8,81
1960,"Tsybin",,5.5,27.6,52.5,8.6,15,,35
1964,"Kuniaev",,0.8,23.1,31.1,9.7,33,1.7,31.5
1970,"RozhdestvenskiiR",,5.1,30.4,82.4,52.4,20,2.1,69.5
1953,"Evtushenko",,8.5,38.1,58.1,8.5,17.5,0.5,63.5
1965,"Evtushenko","Bratskaia GES",0.4,27.4,52.3,11.8,26,,51
1964,"Voznesenskii",,6,48.2,73.7,38.1,43.2,1.6,61.5
1963,"Gorbovskii",,7.7,42.3,39.3,4.7,11.7,4.5,
1965,"Kazantsev",,8.4,21.3,23.5,3,13.2,2.8,
1970,"Matveeva",,2.9,33,13.9,7.1,6.5,3.8,41.5
1960,"Pankratov",,1.8,20.5,44.1,19.6,21.3,4.6,74
1969,"Suleimanov","Glinianaia kniga",4.4,28,53.9,20.8,14.1,9.1,65.5
1960,"Sosnora",,7.8,29.4,84.9,48,28.6,68.6,91
1962,"Rubtsov",,9.3,19.8,27.9,4.3,12.2,3.8,33.5
1969,"Kushner",,4,17.6,26.4,0.9,15.4,,
1963,"Akhmadulina",,,25,54.4,36.1,25,,61
1962,"Morits",,1.8,26.3,14.4,5.3,5.1,6.2,52.5
1970,"Fokina",,9.5,38.3,51.9,8.7,14.6,20.7,31.5
1970,"Firsov",,13.5,43.2,37.5,4.5,4.8,3.3,43.5
1970,"Shkliarevskii",,5.6,16.5,25.2,4.7,33.3,0.7,19.8
1963,"Vegin",,,38,68.8,18,31.9,14.7,39
1970,"Tchukhontsev",,1,20.2,15.7,1.6,15.7,,30
