"period","author","text","femin_iotated","femin_approx","femin_nonexact","masc_closed_nonexact","masc_open_nonexact","masc_closed_open","base_sound"
1840,"Miatlev","Kurdiukova",,2.4,1.2,0.9,0.9,,
1818,"DmitrievM",,2.3,4.3,1.5,0.4,15.2,,
1820,"Kiukhelbecker",,5.5,1.4,0.9,0.5,13,,15.5
1827,"Bestuzhev","Andrei",7.5,0.4,,,2.4,,
1820,"Delvig",,4.7,0.8,0.8,1.2,19.5,,13.5
1814,"Pushkin",,7.1,3.7,3.1,2.9,12.4,,
1816,"Pushkin",,2.8,0.8,,0.4,7.6,,
1817,"Pushkin",,3,0.6,0.7,0.4,4.8,,
1820,"Pushkin","Ruslan I Liudmila",8.5,0.6,,,7.9,,
1828,"Pushkin","Poltava",3,0.5,,,8.3,,
1823,"Pushkin","Eugene Onegin",2.2,1.3,0.1,,5,,17
1824,"Pushkin","poems",1.9,1.3,,,6.6,,16
1831,"Pushkin","fairy tails",,1.4,,,0.7,,
1820,"Shishkov",,11.6,3.1,4.3,0.6,5.3,,
1831,"Veltman","Muromskie lesa",3.1,5.2,0.5,,6.5,,
1823,"Tumanskii",,3.7,0.9,0.2,,24.1,,
1818,"Baratynskii",,,0.7,,,0.5,,14
1836,"Baratynskii",,,,,,,,10.5
1825,"Odoevskii",,4.8,1.4,0.8,,,,
1824,"Iazykov",,8.6,0.8,,,0.7,,10
1840,"Iazykov",,8.5,1.5,,,2.9,,10.5
1829,"Tepliakov",,5.2,6.2,0.6,0.5,11.5,,15.5
1830,"Tiutchev",,0.4,7.9,1.2,0.4,8.9,,23
1860,"Tiutchev",,3.9,13.3,1.1,0.4,5.9,,17
1830,"Khomiakov",,3.9,2.4,,,4.3,,
1821,"Venevitinov",,10,6.7,1,0.3,5,,13
1825,"Polezhaev",,4.3,2,2.4,,20.3,,18.5
1837,"Polezhaev",,9.2,6.1,2.4,,17.4,,
1829,"Iakubovich",,4.5,2.5,4.2,1.5,20,,
1825,"Shevyriov",,4.4,1.5,0.7,0.3,9.6,,
1827,"Podolinskii","Div I Peri Borskii",4.8,3.3,1.5,,4.6,,
1830,"Benediktov",,5.5,4.7,0.3,1.5,4.8,,15
1860,"Benediktov",,1.3,6.6,0.1,,2.1,,
1837,"Sokolovskii","Khever",3,6.3,,,,,
1828,"Koltsov",,4.9,3.6,8.4,6.1,22.4,,15
1836,"Koltsov",,3.4,2.6,0.9,4.7,63.2,,
1843,"Pavlova","Kadril",0.3,17.1,,,,,16
1833,"Krasov",,5.5,10.1,6.4,2.4,11.8,,
1830,"Bernet",,5.6,9.7,15.9,9.4,24.5,,
1836,"Rostopchina",,7.4,12.5,1.2,,25.6,,
1830,"Timofeev",,1,3.8,8.3,1.3,56.5,,
1843,"Ogarev",,9.8,11.2,0.5,0.3,9.1,,14
1830,"Lermontov",,5.8,3.5,0.2,,12.2,,15
